año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2020,946.0,9583989,1089202.0,4766108,452110.0,4313998.0,2598671.0,387364.0,742644.0,-61294.0,3646222,336448.0,3309774.0,19644150,15675434,100536.0,3701714,166466.0,837190.0,1750060.0,2053860.0,37454177
2020,1023.0,52580796,22375867.0,8080883,,8080883.0,17892723.0,4045072.0,186251.0,-422883.0,10136532,1459541.0,8676991.0,49940821,38822097,405778.0,10322452,390494.0,5919667.0,812583.0,227308.0,119194824
2020,1054.0,72826894,19888907.0,5458412,8896.0,5449516.0,0.0,45910878.0,1568697.0,-347739.0,4995355,1456204.0,3539151.0,60855526,48513519,258.0,12341749,,8133854.0,372544.0,899838.0,147736272
2020,1057.0,1485286,409867.0,256094,0.0,256094.0,0.0,583603.0,235722.0,0.0,1286858,432511.0,854347.0,12830247,10129236,0.0,2701011,0.0,0.0,0.0,0.0,15602391
2020,1031.0,136804,5534.0,652,0.0,652.0,0.0,103278.0,27340.0,0.0,37772,16415.0,21357.0,580864,439117,210.0,137883,3654.0,23947.0,0.0,6051.0,785438
2020,1032.0,51090196,19447883.0,9408015,9408015.0,0.0,18556003.0,3511365.0,166930.0,-261563.0,9843071,1303788.0,8539283.0,46146903,36045860,159486.0,9536472,405085.0,5588632.0,254699.0,385279.0,113047217
2020,1064.0,11027586,900298.0,5173188,617924.0,4555264.0,3441205.0,904265.0,608630.0,-109208.0,3227772,385386.0,2842386.0,15585877,12399669,23865.0,3019870,142473.0,2699081.0,318634.0,1920808.0,34670550
2020,226.0,12877102,1516691.0,1912060,96280.0,1815780.0,6604472.0,1427102.0,1416777.0,-61174.0,1962391,286890.0,1675501.0,6954160,5047569,170297.0,1606931,129363.0,1310541.0,274444.0,1230398.0,24547862
2020,687.0,26524893,8846204.0,6068214,1401978.0,4666236.0,6214533.0,4874520.0,521422.0,,1166189,1124930.0,41259.0,43268427,35601564,,7666863,,,,156893.0,71116402
2020,745.0,118611750,53475056.0,34118883,7465700.0,26653183.0,10856905.0,16958802.0,3202104.0,,3298072,2562861.0,735211.0,176899591,144339313,,32560278,,,,536836.0,299346249
2020,109.0,9363499,1750219.0,1788305,301716.0,1486589.0,5203333.0,395568.0,226074.0,-286246.0,2484999,257564.0,2227435.0,8062458,6296337,12314.0,1728301,25506.0,630251.0,155053.0,208856.0,20618870
2020,808.0,51523228,11137326.0,14147411,2283104.0,11864307.0,4242354.0,20753131.0,1243006.0,,2369340,1769215.0,600125.0,84743469,66399208,,18344261,,,,336294.0,138972331
2020,971.0,4489337,386866.0,1742910,595019.0,1147891.0,915754.0,1331581.0,112226.0,,313243,250299.0,62944.0,12879127,10031731,,2847396,,,,11651.0,17693358
2020,128.0,2752718,525111.0,640503,63429.0,577074.0,0.0,1488182.0,98922.0,13757.0,881424,77786.0,803638.0,2128336,1692479,1164.0,434693,0.0,153215.0,893.0,21894.0,5952237
2020,919.0,46051077,24635810.0,13977028,1930084.0,12046944.0,0.0,6352769.0,1085470.0,989936.0,8680746,1590916.0,7089830.0,88376101,70756420,0.0,17548290,71391.0,0.0,0.0,0.0,144097860
2020,1150.0,219234,14197.0,16514,0.0,16514.0,8047.0,0.0,180476.0,-1478.0,206135,25678.0,180457.0,1012469,725877,20547.0,234458,31587.0,75254.0,0.0,61758.0,1573372
2020,725.0,117904804,51749158.0,58174141,11148826.0,47025315.0,0.0,3312224.0,4669281.0,-9294526.0,21138548,3165830.0,17972718.0,184799186,145165729,0.0,39633457,0.0,2101381.0,0.0,16033666.0,332683059
2020,3.0,717014,38545.0,115443,0.0,115443.0,31818.0,380482.0,150726.0,0.0,385972,133212.0,252760.0,2218411,1408313,325029.0,462685,22384.0,59061.0,47253.0,56906.0,3484617
2020,306.0,23821,0.0,12208,0.0,12208.0,11613.0,0.0,0.0,0.0,57282,55766.0,1516.0,12223773,9854075,0.0,2369698,0.0,0.0,0.0,0.0,12304876
2020,15.0,107600,67600.0,30000,20000.0,10000.0,0.0,9000.0,1000.0,6000.0,50000,45000.0,5000.0,876699,649407,0.0,227292,0.0,0.0,0.0,0.0,1040299
2020,264.0,13169383,2017921.0,2499398,22150.0,2477248.0,5098210.0,1747023.0,1806831.0,-128628.0,2054512,196646.0,1857866.0,6074469,4628443,4507.0,1424495,17024.0,376587.0,726439.0,662701.0,22935463
2020,867.0,1494446,37421.0,470088,191492.0,278596.0,,968934.0,18003.0,-20332.0,352670,69000.0,283670.0,690910,518056,967.0,171121,766.0,99599.0,50000.0,46923.0,2714216
2020,910.0,22176845,12619480.0,8205277,1232718.0,6972559.0,0.0,52255.0,1299833.0,-1981503.0,4276187,466349.0,3809838.0,48258011,37970806,,10284971,2234.0,403849.0,0.0,6681411.0,79814800
2020,1053.0,35352446,21748311.0,9944023,734470.0,9209553.0,0.0,1909341.0,1750771.0,-1227671.0,6013657,103852.0,5909805.0,99383209,78634767,0.0,20732493,15949.0,583099.0,0.0,677993.0,140782733
2020,1055.0,54418937,26041875.0,24023758,1875563.0,22148195.0,0.0,1934743.0,2418561.0,-4268396.0,9686960,698508.0,8988452.0,119165248,93692892,0.0,25439176,33180.0,1014238.0,0.0,620034.0,180637021
2020,1081.0,238424,6417.0,112544,0.0,112544.0,0.0,12044.0,107419.0,0.0,194098,118992.0,75106.0,1930146,1514928,3922.0,404487,6809.0,173943.0,0.0,241192.0,2777803
2020,1115.0,1494444,37420.0,34274,7001.0,27273.0,0.0,968933.0,453817.0,-20332.0,223601,69000.0,154601.0,690910,518056,967.0,171121,766.0,99599.0,50000.0,175992.0,2714214
2020,529.0,2191781,170888.0,544991,,544991.0,0.0,1428758.0,47144.0,0.0,398050,246730.0,151320.0,9713407,7503520,140806.0,1889983,179098.0,0.0,0.0,1313.0,12304551
2020,345.0,2768826,363275.0,150452,0.0,150452.0,0.0,2187168.0,67931.0,0.0,1121697,370379.0,751318.0,15083019,11776851,219516.0,2810316,276336.0,0.0,0.0,3041.0,18976583
2020,515.0,3558819,130701.0,902382,447326.0,455056.0,1834121.0,422328.0,269287.0,29354.0,1742645,1033613.0,709032.0,8139444,6009289,0.0,1947361,182794.0,543448.0,5195284.0,122487724.0,141696718
2020,174.0,3007601,96416.0,702629,127715.0,574914.0,1937067.0,0.0,271489.0,-20816.0,858268,118861.0,739407.0,4571741,3457995,3835.0,1077279,32632.0,215731.0,0.0,100238.0,8732763
2020,523.0,14883223,976668.0,3445604,1490125.0,1955479.0,4750627.0,5103377.0,606947.0,-93955.0,1676268,480862.0,1195406.0,15466354,12025365,67066.0,3231168,142755.0,1782944.0,29761.0,499658.0,34244253
2020,697.0,20225775,3110364.0,7422111,1258025.0,6164086.0,8039595.0,697263.0,956442.0,-559147.0,6257352,667938.0,5589414.0,23722145,18285952,74773.0,5289378,72042.0,1467741.0,432820.0,314971.0,51861657
2020,239.0,16183853,1423080.0,3621354,799274.0,2822080.0,7506589.0,3100901.0,531929.0,-297075.0,3288742,788745.0,2499997.0,14733076,12048653,-157446.0,2801548,40321.0,1088795.0,845924.0,538568.0,36381883
2020,287.0,19349939,3141562.0,5795758,452675.0,5343083.0,6415230.0,3704533.0,292856.0,-219289.0,2464310,624640.0,1839670.0,18206847,14461284,116781.0,3509638,119144.0,795859.0,1059063.0,795529.0,42452258
2020,377.0,1752075,186855.0,363214,4094.0,359120.0,,1175731.0,26275.0,0.0,453074,180489.0,272585.0,8444074,6780633,0.0,1498116,165325.0,0.0,0.0,0.0,10649223
2020,692.0,39371943,25283927.0,9202878,1474054.0,7728824.0,2907647.0,883796.0,1093695.0,-366690.0,3899795,2661656.0,1238139.0,68058986,53503649,1190289.0,12285770,1079278.0,765711.0,0.0,535478.0,112265223
2020,435.0,6311206,1428079.0,4748122,385770.0,4362352.0,18855.0,27382.0,88768.0,24061.0,13381710,470896.0,12910814.0,11660821,9012618,64485.0,2583718,0.0,1600733.0,3673594.0,474426.0,37126551
2020,423.0,3816782,426636.0,513791,65747.0,448044.0,2005096.0,771920.0,99339.0,1469.0,1003836,161258.0,842578.0,4242504,3352007,32576.0,818365,39556.0,115093.0,280295.0,84734.0,9544713
2020,351.0,4528635,214503.0,533168,123457.0,409711.0,2503121.0,1094868.0,182975.0,393.0,387021,153840.0,233181.0,4501718,3574659,11184.0,893201,22674.0,186328.0,135483.0,-128763.0,9610815
2020,810.0,2544522,284424.0,342527,43831.0,298696.0,1336731.0,514614.0,66226.0,979.0,669223,107505.0,561718.0,2828338,2234672,21718.0,545577,26371.0,76728.0,186864.0,56490.0,6363144
2020,830.0,36031765,17714356.0,12140869,2353116.0,9787753.0,0.0,6176540.0,0.0,98553.0,1617309,1068664.0,548645.0,68057809,53597375,1022253.0,12240506,1197675.0,1447303.0,0.0,165447.0,107418186
2020,892.0,77257019,45322687.0,21057793,4423198.0,16634595.0,0.0,10044357.0,832182.0,0.0,7496960,2126224.0,5370736.0,117905550,95040121,0.0,20868777,1996652.0,0.0,0.0,0.0,202659529
2020,921.0,26232708,4054356.0,7022811,2151047.0,4871764.0,13071214.0,932376.0,1151951.0,-547359.0,8614702,783568.0,7831134.0,24656256,19376630,34470.0,5215946,29210.0,767942.0,448739.0,358116.0,60531104
2020,991.0,1074196,236110.0,301418,14061.0,287357.0,0.0,516985.0,19683.0,31961.0,468932,114260.0,354672.0,5806692,4679486,70784.0,949411,107011.0,67708.0,0.0,22911.0,7472400
2020,992.0,23620084,11721874.0,7464771,1101593.0,6363178.0,460931.0,3972508.0,0.0,357673.0,2533557,1262376.0,1271181.0,53050366,41867606,791500.0,9626071,765189.0,0.0,0.0,22709.0,79584389
2020,993.0,28352600,16947948.0,7375414,1226026.0,6149388.0,1051149.0,1991082.0,987007.0,1737734.0,2277775,937004.0,1340771.0,46759267,37423771,167619.0,8422955,744922.0,822647.0,0.0,36710.0,79986733
2020,1070.0,176511637,84002498.0,84919027,14478530.0,70440497.0,3777290.0,2305733.0,1507089.0,0.0,13071083,8361234.0,4709849.0,239299061,189746447,2427629.0,43662434,3462551.0,0.0,0.0,72169.0,428953950
2020,1095.0,4205114,236384.0,681352,267548.0,413804.0,2584579.0,581862.0,120937.0,-1000.0,557744,460957.0,96787.0,6180739,5031421,0.0,1245429,-96111.0,423098.0,0.0,2658202.0,14023897
2020,1094.0,1269785,96074.0,311720,97500.0,214220.0,,820338.0,41653.0,0.0,486307,106845.0,379462.0,1418920,1059005,5094.0,344515,10306.0,73254.0,119362.0,2493.0,3370121
2020,1124.0,136421,13918.0,20932,3178.0,17754.0,0.0,101571.0,0.0,0.0,165777,29185.0,136592.0,145593,101813,0.0,43780,0.0,105290.0,0.0,0.0,553081
2020,473.0,1483313,0.0,0,0.0,0.0,928582.0,477002.0,77729.0,-414.0,880301,403308.0,476993.0,3296380,2568640,0.0,727740,0.0,618755.0,2034.0,0.0,6280369
2020,663.0,112084777,55887317.0,25308475,5696528.0,19611947.0,16665805.0,10546394.0,3676786.0,0.0,20473085,3142055.0,17331030.0,157298083,127489641,17644.0,29521061,269737.0,6088562.0,350661.0,0.0,296295168
2020,552.0,10711754,2248944.0,4864117,2532186.0,2331931.0,1124816.0,1918401.0,555476.0,0.0,2664827,511201.0,2153626.0,18654426,15043805,0.0,3588672,21949.0,662721.0,4442.0,0.0,32698170
2020,772.0,250983087,136793044.0,81640083,18223686.0,63416397.0,9121850.0,17453021.0,5975089.0,-7821662.0,18616299,3869388.0,14746911.0,330110506,255686244,576333.0,72825969,1021960.0,21107363.0,1240727.0,0.0,614236320
2020,568.0,3564864,137740.0,1418896,654751.0,764145.0,5052.0,1452459.0,550717.0,0.0,794313,0.0,794313.0,6601088,4768104,67720.0,1521730,243534.0,0.0,0.0,0.0,10960265
2020,398.0,8340167,506116.0,3830796,2124168.0,1706628.0,898542.0,2830673.0,274040.0,-359514.0,2459689,659219.0,1800470.0,13337304,9998921,46182.0,3031954,260247.0,1126876.0,258540.0,0.0,25163062
2020,394.0,2502690,106880.0,870107,441557.0,428550.0,46035.0,1191099.0,288569.0,21285.0,418288,191955.0,226333.0,6949596,5200822,0.0,1551179,197595.0,273338.0,0.0,0.0,10165197
2020,614.0,1229473,49563.0,433018,160852.0,272166.0,10267.0,581116.0,155509.0,0.0,791093,21929.0,769164.0,2990556,2213649,2088.0,690639,84180.0,63000.0,0.0,0.0,5074122
2020,235.0,1433738,113253.0,546630,1452.0,545178.0,543491.0,208091.0,22273.0,4136.0,1319198,268808.0,1050390.0,4121695,2925941,36343.0,994983,164428.0,440339.0,0.0,0.0,7319106
2020,616.0,11610123,3273362.0,2592666,956528.0,1636138.0,4128833.0,779260.0,836002.0,-371893.0,2905070,424127.0,2480943.0,25436447,20421630,289063.0,4707472,18282.0,631871.0,0.0,0.0,40211618
2020,267.0,18669439,1233609.0,4620469,1414618.0,3205851.0,6657867.0,5532326.0,625168.0,-105124.0,2874576,645606.0,2228970.0,13301915,10328127,0.0,2962559,11229.0,1067153.0,384262.0,0.0,36192221
2020,565.0,8346962,1372476.0,2746283,801510.0,1944773.0,2905647.0,955344.0,367212.0,-211954.0,2805010,568492.0,2236518.0,20929898,16066433,0.0,4749944,113521.0,1569240.0,0.0,0.0,33439156
2020,220.0,4432154,537426.0,205992,34225.0,171767.0,2206111.0,1468462.0,14163.0,1875413.0,1573392,362396.0,1210996.0,8050771,6339390,46807.0,1609838,54736.0,941034.0,31584.0,164949.0,17069297
2020,278.0,13544832,2309749.0,2107400,2107400.0,0.0,7074126.0,1967053.0,86504.0,-57607.0,1474690,417788.0,1056902.0,9418107,7446488,5500.0,1957225,8894.0,1700183.0,33076.0,0.0,26113281
2020,107.0,1292057,149722.0,301199,0.0,301199.0,145341.0,565053.0,130742.0,-60074.0,492139,151738.0,340401.0,5358580,4059960,27625.0,1273722,-2727.0,517644.0,190.0,0.0,7600536
2020,711.0,149322408,77678002.0,46446594,14633126.0,31813468.0,8588435.0,14406581.0,2202796.0,0.0,27630682,5388916.0,22241766.0,213386165,173651256,1842.0,39380895,352172.0,5452746.0,772464.0,0.0,396564465
2020,204.0,825796,227212.0,190526,0.0,190526.0,45086.0,113074.0,249898.0,-7971.0,341415,90091.0,251324.0,5374733,3768352,0.0,1137890,468491.0,112984.0,0.0,0.0,6646957
2020,348.0,7464775,611373.0,3225242,2663553.0,561689.0,554163.0,2451601.0,622396.0,0.0,3170419,651600.0,2518819.0,19124362,15146244,40535.0,3651380,286203.0,1858956.0,330405.0,0.0,31948917
2020,766.0,19710170,4640292.0,6359293,512348.0,5846945.0,4293742.0,3131667.0,1285176.0,0.0,4041930,1053112.0,2988818.0,35306332,29185581,0.0,6058747,62004.0,2618744.0,657661.0,0.0,62334837
2020,761.0,3886175,492961.0,736404,0.0,736404.0,1329851.0,1196261.0,130698.0,-111039.0,2524652,358931.0,2165721.0,10720235,8683841,0.0,1983072,53322.0,621008.0,571714.0,0.0,18212745
2020,728.0,37533102,8312157.0,9601411,3601427.0,5999984.0,17899408.0,830437.0,889689.0,-453305.0,16536161,90135.0,16446026.0,45430721,35911352,89272.0,9260786,169311.0,3662170.0,3497053.0,0.0,106205902
2020,280.0,19700573,2790243.0,3329265,444593.0,2884672.0,11920500.0,14398.0,1646167.0,704316.0,3626145,693839.0,2932306.0,14049842,11103664,341850.0,2559733,44595.0,2945298.0,728842.0,0.0,41755016
2020,222.0,4812351,486701.0,870860,870860.0,0.0,3062297.0,370310.0,22183.0,-58254.0,1863027,252443.0,1610584.0,4527858,3594177,0.0,914643,19038.0,396597.0,28128.0,0.0,11569707
2020,276.0,76774388,10985768.0,13334320,5141426.0,8192894.0,26981045.0,24576058.0,897197.0,0.0,3707080,779.0,3706301.0,23612742,17925707,12924.0,5649505,24606.0,1190928.0,0.0,0.0,105285138
2020,11.0,19045870,3257725.0,4350406,0.0,4350406.0,9506086.0,649360.0,1282293.0,-113308.0,2521645,753829.0,1767816.0,25056281,18926072,0.0,6130209,0.0,3086329.0,14341.0,0.0,49611158
2020,302.0,5303871,43120.0,200116,0.0,200116.0,4766887.0,130144.0,163604.0,49139.0,781958,149258.0,632700.0,2551438,1778892,204262.0,568751,-467.0,252742.0,0.0,0.0,8939148
2020,682.0,12860641,3873318.0,2307156,798765.0,1508391.0,4381635.0,1749839.0,548693.0,151324.0,4945867,380544.0,4565323.0,26646795,21533047,62479.0,4980582,70687.0,2594136.0,11188.0,0.0,47209951
2020,279.0,39496867,5992697.0,10909920,3847619.0,7062301.0,6536023.0,92102.0,15966125.0,-398220.0,5529879,946933.0,4582946.0,21972634,16483975,62926.0,5399175,26558.0,2307350.0,553902.0,0.0,69462412
2020,282.0,58403459,10055202.0,18396994,7073754.0,11323240.0,17590664.0,11634011.0,726588.0,0.0,12645733,1384803.0,11260930.0,32185412,24957786,-205739.0,7430579,2786.0,1901142.0,405092.0,0.0,105540838
2020,281.0,15685741,5214440.0,4611992,808222.0,3803770.0,3104442.0,249895.0,2504972.0,0.0,5528379,1079980.0,4448399.0,36707827,27851617,0.0,8107009,749201.0,2563207.0,0.0,63364382.0,123849536
