,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,tipo,año,ncodi
3484,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"33,00"
3485,10200.0,105254.0,105254.0,0.0,0.0,Urgencia,2013,"143,00"
3486,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"36,00"
3487,3231.0,174119.0,49815.0,124304.0,0.0,Urgencia,2013,"756,00"
3488,5612.0,504052.0,21594.0,482458.0,123856.0,Urgencia,2013,"662,00"
3489,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"192,00"
3490,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"382,00"
3491,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"322,00"
3492,10767.0,0.0,0.0,0.0,102962.0,Urgencia,2013,"478,00"
3493,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"352,00"
3494,17390.0,296239.0,9799.0,286440.0,71358.0,Urgencia,2013,"628,00"
3495,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"291,00"
3496,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"327,00"
3497,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"690,00"
3498,180685.0,2780175.0,2623851.0,156324.0,188345.0,Urgencia,2013,"262,00"
3499,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"403,00"
3500,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"312,00"
3501,23246.0,295662.0,863.0,294799.0,70609.0,Urgencia,2013,"589,00"
3502,7818.0,762953.0,217698.0,545255.0,123718.0,Urgencia,2013,"665,00"
3503,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"334,00"
3504,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"1075,00"
3505,38328.0,308474.0,87650.0,220824.0,451842.0,Urgencia,2013,"751,00"
3506,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"186,00"
3507,5163.0,65132.0,24832.0,40300.0,95421.0,Urgencia,2013,"646,00"
3508,4215.0,84685.0,50594.0,34091.0,110242.0,Urgencia,2013,"536,00"
3509,3020.0,12652.0,9026.0,3626.0,4621.0,Urgencia,2013,"242,00"
3510,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"490,00"
3511,38244.0,948701.0,948701.0,0.0,50613.0,Urgencia,2013,"500,00"
3512,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"206,00"
3513,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"58,00"
3514,8238.0,544667.0,56390.0,488277.0,92158.0,Urgencia,2013,"572,00"
3515,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"180,00"
3516,4322.0,52773.0,6537.0,46236.0,32886.0,Urgencia,2013,"549,00"
3517,3695.0,75387.0,21711.0,53676.0,38817.0,Urgencia,2013,"582,00"
3518,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"743,00"
3519,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"795,00"
3520,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"269,00"
3521,2676.0,345566.0,70790.0,274776.0,47740.0,Urgencia,2013,"634,00"
3522,8234.0,145856.0,144769.0,1087.0,115087.0,Urgencia,2013,"1,00"
3523,1470.0,225992.0,4040.0,221952.0,55520.0,Urgencia,2013,"717,00"
3524,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"373,00"
3525,1868.0,185436.0,8127.0,177309.0,49272.0,Urgencia,2013,"535,00"
3526,25212.0,1271666.0,451460.0,820206.0,305093.0,Urgencia,2013,"824,00"
3527,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"888,00"
3528,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"902,00"
3529,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"968,00"
3530,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"346,00"
3531,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"27,00"
3532,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"165,00"
3533,386084.0,309578.0,0.0,309578.0,129088.0,Urgencia,2013,"956,00"
3534,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"413,00"
3535,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"149,00"
3536,58174.0,2359747.0,1443429.0,916318.0,135573.0,Urgencia,2013,"612,00"
3537,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"559,00"
3538,350.0,32406.0,32406.0,0.0,0.0,Urgencia,2013,"7,00"
3539,152833.0,2025592.0,1418133.0,607459.0,69066.0,Urgencia,2013,"283,00"
3540,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"37,00"
3541,151210.0,2482539.0,1959877.0,522662.0,15802.0,Urgencia,2013,"153,00"
3542,191175.0,212779.0,41848.0,170931.0,116188.0,Urgencia,2013,"547,00"
3543,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"397,00"
3544,256501.0,167371.0,53787.0,113584.0,72670.0,Urgencia,2013,"556,00"
3545,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"42,00"
3546,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"31,00"
3547,786660.0,634359.0,474395.0,159964.0,171539.0,Urgencia,2013,"740,00"
3548,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"217,00"
3549,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"863,00"
